jquery_plugin	jQuery plugins
picture	Picture
apachesolr	Apache Solr Search
xautoload	X Autoload
search_config	Search configuration
tablefield	TableField
message	Message
robotstxt	RobotsTxt
slick	Slick Carousel
mailchimp	MailChimp
ldap	Lightweight Directory Access Protocol (LDAP) 
menu_token	Menu token
uuid_features	UUID Features Integration
entityreference_prepopulate	Entityreference prepopulate
entityform	Entityform
google_tag	GoogleTagManager
follow	Follow
session_api	Session API
rabbit_hole	Rabbit Hole
term_reference_tree	Taxonomy Term Reference Tree Widget
blockreference	Block reference
commerce_paypal	Commerce PayPal
menu_trail_by_path	Menu Trail By Path
imce_filefield	IMCE for FileField
front	Front Page
lang_dropdown	Language Switcher Dropdown
video	Video
color_field	Color Field
views_datasource	Views Datasource
securepages	Secure Pages
telephone	Telephone
message_notify	Message Notify
commerce_flat_rate	Commerce Flat Rate
date_popup_authored	Date Popup Authored
formblock	Form Block
views_megarow	Views Megarow
retina_images	Retina Images
slick_views	Slick Views
inline_conditions	Inline Conditions
migrate_extras	Migrate Extras
views_tree	Views tree
node_convert	Node Convert
jquery_colorpicker	Jquery Colorpicker
twitter_block	Twitter Block
html5_tools	HTML5 Tools
acquia_connector	Acquia Connector
widgets	Widgets
eck	Entity Construction Kit (ECK)
emfield	Embedded Media Field
fpa	Fast Permissions Administration
countries	Countries
field_formatter_class	Field Formatter Class
search_api_ranges	Search API ranges
socialmedia	Social media
juicebox	Juicebox HTML5 Responsive Image Galleries
icon	Icon API
varnish	Varnish
image_link_formatter	Image Link Formatter
charts	Charts
nodeaccess	Nodeaccess
tvi	Taxonomy Views Integrator
webform_rules	Webform Rules
flood_control	Flood control
video_filter	Video Filter
navigation404	404 Navigation
fieldable_panels_panes	Fieldable Panels Panes (FPP)
crumbs	Crumbs, the Breadcrumbs suite
fitvids	FitVids
clientside_validation	Clientside Validation
block_titlelink	Block Title Link
form_builder	Form Builder
videojs	Video.js (HTML5 Video Player)
webform_localization	Webform Localization
pm_existing_pages	Page manager existing pages
commerce_features	Commerce features
shs	Simple hierarchical select
field_collection_views	Field Collection Views
publishcontent	Publish Content
ultimate_cron	Ultimate Cron
drafty	Drafty
url	URL field
search_api_sorts	Search API sorts
features_override	Features Override
geolocation	Geolocation Field
invisimail	Invisimail
fast_404	Fast 404
elfinder	elFinder file manager
commerce_addressbook	Commerce Addressbook
httprl	HTTP Parallel Request &amp; Threading Library
login_security	Login Security
commerce_discount	Commerce Discount
ds_bootstrap_layouts	Display Suite Bootstrap Layouts
date_ical	Date iCal
views_nivo_slider	Views Nivo Slider
simplify	Simplify
feeds_xpathparser	Feeds XPath Parser
chart	Google Chart Tools: Image Charts
defaultconfig	Default config
autocomplete_deluxe	Autocomplete Deluxe
coffee	Coffee
piwik	Piwik Web Analytics
cas	CAS
vppr	Vocabulary Permissions Per Role
leaflet	Leaflet
menu_firstchild	Menu Firstchild
domain	Domain Access
fancybox	fancyBox
insert_view	Insert View
l10n_client	Localization client
views_rss	Views RSS
imageblock	Image Block
registration	Entity Registration
taxonomy_csv	Taxonomy CSV import/export
entityreference_view_widget	Entity Reference View Widget
views_isotope	Views Isotope (Deprecated)
webform_hints	Webform Hints
commerce_backoffice	Commerce Backoffice
find_content	Find Content
taxonomy_access_fix	Taxonomy access fix
image_captcha_refresh	Image CAPTCHA Refresh
securelogin	Secure Login
conditional_styles	Conditional Stylesheets
disqus	Disqus
admin_language	Administration Language
panels_breadcrumbs	Panels Breadcrumbs
shadowbox	Shadowbox
legal	Legal
modal_forms	Modal forms (with ctools)
fb_likebox	Facebook Page Plugin
disable_messages	Disable Messages
administerusersbyrole	Administer Users by Role
media_gallery	Media Gallery
commerce_extra_price_formatters	Drupal Commerce Extra Price Formatters
webform_phone	Webform Phone Number
media_ckeditor	Media CKEditor
spamspan	SpamSpan filter
admin_theme	Administration theme
scroll_to_top	scroll to top
replicate	Replicate
markup	Markup
forum_access	Forum Access
easy_breadcrumb	Easy Breadcrumb
commerce_search_api	Commerce Search API
mediaelement	MediaElement
focal_point	Focal Point
apps	Apps
commerce_autosku	Commerce AutoSKU
rename_admin_paths	Rename Admin Paths
imagestyleflush	Image style flush
webform_layout	Webform Layout
panels_everywhere	Panels Everywhere
environment_indicator	Environment Indicator
search_autocomplete	Search Autocomplete
commerce_checkout_progress	Commerce Checkout Progress
noreqnewpass	No Request New Password
hacked	Hacked!
privatemsg	Privatemsg
session_limit	Session Limit
references_dialog	References dialog
image_field_caption	Image Field Caption
simplified_menu_admin	Simplified Menu Administration
masonry	Masonry API
newsletter	Newsletter
webform_conditional	Webform Conditional (Same Page Conditionals)
rate	Rate
tabtamer	Tab Tamer
views_ticker	Views Ticker
commerce_stock	Commerce Stock
content_taxonomy	Content Taxonomy
minify	Minify
form_placeholder	Form Placeholder
schema	Schema
save_draft	Save Draft
fape	Field API Pane Editor (FAPE)
radix_layouts	Radix Layouts
readmorecontrol	Read More Control
imce_crop	IMCE Crop
imce_rename	IMCE Rename
composer_manager	Composer Manager
backports	Backports
custom_formatters	Custom Formatters
audiofield	AudioField
menu_import	Menu Export/Import
modernizr	Modernizr
slick_extras	Slick extras
field_collection_table	Field Collection Table
imageapi_optimize	Image Optimize (or ImageAPI Optimize)
views_fluid_grid	Views Fluid Grid
adaptive_image	Adaptive Image
masonry_views	Masonry Views
flippy	Flippy
views_distinct	Views Distinct
revisioning	Revisioning
cloud_zoom	Cloud Zoom
hide_submit	Hide submit button
rules_conditional	Conditional Rules
media_soundcloud	Media: SoundCloud
locationmap	Location Map
admin	Admin
roleassign	RoleAssign
commerce_message	Commerce Message
http_client	Http Client
userprotect	User protect
commerce_coupon	Commerce Coupon
search_api_page	Search API pages
disable_breadcrumbs	Disable breadcrumbs
menu_editor	Menu Editor
username_enumeration_prevention	Username Enumeration Prevention
galleria	Galleria
schemaorg	Schema.org
openlayers	Openlayers
editablefields	Editable Fields
compact_forms	Compact Forms
menu_html	Menu HTML
panopoly_magic	Panopoly Magic
menu_target	Menu target
pdf	PDF
caption_filter	Caption Filter
webform_share	Webform share
wysiwyg_template	Wysiwyg API template plugin
views_content_cache	Views content cache
beautytips	BeautyTips
styles	Styles
image_delta_formatter	Image Delta Formatter
nodereference_url	Node Reference URL Widget
panopoly_theme	Panopoly Theme
editableviews	Editable Views
fullcalendar	FullCalendar
filter_perms	Filter permissions
subpathauto	Sub-pathauto (Sub-path URL Aliases)
panopoly_images	Panopoly Images
hybridauth	HybridAuth Social Login
messaging	Messaging
media_browser_plus	Media Browser Plus
proj4js	Proj4JS
imce_plupload	IMCE plupload
multiselect	Multiselect
flood_unblock	Flood Unblock
phpmailer	PHPMailer
services_views	Services Views
addressfield_tokens	Addressfield Tokens
panels_bootstrap_layouts	Panels Bootstrap Layouts
dhtml_menu	DHTML Menu
contact_forms	Contact Forms
panopoly_widgets	Panopoly Widgets
spamicide	Spamicide
event_calendar	Event Calendar
hidden_captcha	Hidden CAPTCHA
bg_image	Background Images
quiz	Quiz
addanother	Add another
